data,hora,taxa
2022/09/23,01:13:39,13.305708486058096
2022/09/23,01:13:41,13.250807770896762
2022/09/23,01:13:43,14.020101815850573
2022/09/23,01:13:46,13.35893399519007
2022/09/23,01:13:48,13.800517149911583
2022/09/23,01:13:51,13.738452287197207
2022/09/23,01:13:53,13.772549465717292
2022/09/23,01:13:56,13.387503390512672
2022/09/23,01:13:58,13.23678720264449
2022/09/23,01:14:00,13.344214062143362
2022/09/23,01:20:54,13.928068068197664
2022/09/23,01:20:56,13.919426722773837
2022/09/23,01:20:58,13.215800924495746
2022/09/23,01:21:00,13.43442677316086
2022/09/23,01:21:03,14.062522626478193
2022/09/23,01:21:06,14.129415014041273
2022/09/23,01:21:08,13.64726495823787
2022/09/23,01:21:10,14.011516142770425
2022/09/23,01:21:13,13.490854527591495
2022/09/23,01:21:15,13.256687680756308
2022/09/23,01:23:40,13.193669433962356
2022/09/23,01:23:42,13.916833765721927
2022/09/23,01:23:44,13.902475694506135
2022/09/23,01:23:47,13.159938449742567
2022/09/23,01:23:49,13.617363371207077
2022/09/23,01:23:51,13.505391660784584
2022/09/23,01:23:54,13.238214550150982
2022/09/23,01:23:56,13.348748779125103
2022/09/23,01:23:59,13.934245420480053
2022/09/23,01:24:01,13.454114510399423
